Geo Point;Geo Shape;gml_id;GID;GEOM_O;ADRESSE;TYPE;HANDI;CDATE;MDATE
44.85250000991893, -0.5997778207688063;"{""coordinates"": [-0.599777820768806, 44.85250000991893], ""type"": ""Point""}";_4dc579a7-2972-11eb-a9a2-fb0a0f0c06c1.5993;5993;0;Parc Bordelais 2;SANITAIRE_AUTOMATIQUE;OUI;2023-01-20T17:24:58+01:00;2023-01-20T17:24:58+01:00
44.8588889309591, -0.5843333936707357;"{""coordinates"": [-0.584333393670736, 44.8588889309591], ""type"": ""Point""}";_4dc579a7-2972-11eb-a9a2-fb0a0f0c06c1.5985;5985;0;Rue Pierre Trébod;URINOIR;NON;2023-01-20T17:09:40+01:00;2023-01-20T17:09:40+01:00
44.83492483184971, -0.578596931422133;"{""coordinates"": [-0.578596931422133, 44.83492483184971], ""type"": ""Point""}";_4dc579a7-2972-11eb-a9a2-fb0a0f0c06c1.118;118;0;Place de la République;URINOIR;NON;2019-05-06T02:00:00+02:00;2019-05-06T02:00:00+02:00
44.8589910441577, -0.5657282902102474;"{""coordinates"": [-0.565728290210247, 44.8589910441577], ""type"": ""Point""}";_4dc579a7-2972-11eb-a9a2-fb0a0f0c06c1.5961;5961;0;place St Martial;SANITAIRE_AUTOMATIQUE;OUI;2020-09-10T15:10:20+02:00;2023-01-20T14:11:38+01:00
44.842861145644854, -0.5495832747701178;"{""coordinates"": [-0.549583274770118, 44.842861145644854], ""type"": ""Point""}";_4dc579a7-2972-11eb-a9a2-fb0a0f0c06c1.5901;5901;0;Place Calixte Camelle;SANITAIRE_AUTOMATIQUE;OUI;2019-05-06T02:00:00+02:00;2019-05-06T02:00:00+02:00
44.82886108353776, -0.553750053312239;"{""coordinates"": [-0.553750053312239, 44.82886108353776], ""type"": ""Point""}";_4dc579a7-2972-11eb-a9a2-fb0a0f0c06c1.5902;5902;0;Paludate 2;SANITAIRE_AUTOMATIQUE;OUI;2019-05-06T02:00:00+02:00;2019-05-06T02:00:00+02:00
44.832333309103966, -0.5584167031556128;"{""coordinates"": [-0.558416703155613, 44.832333309103966], ""type"": ""Point""}";_4dc579a7-2972-11eb-a9a2-fb0a0f0c06c1.5905;5905;0;Quai des Graves Maison des Jardiniers;SANITAIRE_AUTOMATIQUE;OUI;2019-05-06T02:00:00+02:00;2023-01-20T01:00:00+01:00
44.82238884915393, -0.5628054907952494;"{""coordinates"": [-0.562805490795249, 44.82238884915393], ""type"": ""Point""}";_4dc579a7-2972-11eb-a9a2-fb0a0f0c06c1.5909;5909;0;Place Cardinal Donnet;SANITAIRE_AUTOMATIQUE;OUI;2019-05-06T02:00:00+02:00;2023-01-20T01:00:00+01:00
44.846249986656744, -0.5649443964710852;"{""coordinates"": [-0.564944396471085, 44.846249986656744], ""type"": ""Point""}";_4dc579a7-2972-11eb-a9a2-fb0a0f0c06c1.5912;5912;0;Quai de Queyries;SANITAIRE_AUTOMATIQUE;OUI;2019-05-06T02:00:00+02:00;2019-05-06T02:00:00+02:00
44.83280556993102, -0.5943888275414825;"{""coordinates"": [-0.594388827541482, 44.83280556993102], ""type"": ""Point""}";_4dc579a7-2972-11eb-a9a2-fb0a0f0c06c1.5923;5923;0;Place Gavinies;SANITAIRE_AUTOMATIQUE;OUI;2019-05-06T02:00:00+02:00;2019-05-06T02:00:00+02:00
